bugID,ID,LineID,isBugCovering,type,faulty_lines,all_Lines,question,LOC for line inspection,LOC original,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HIT02_24,10,114,yes,variable,117,115;117," Is there any issue with the definition or/and the use of variable ""value"" in the source code below that might be related to the failure?",2,2,IDK,YES,NO,YES,YES,NO,YES,YES,IDK,NO,NO,NO,YES,NO,YES,YES,NO,YES,IDK,NO,
HIT02_24,11,115,no,variable,,115;116," Is there any issue with the definition or/and the use of variable ""v"" in the source code below that might be related to the failure?",2,2,YES,NO,YES,NO,IDK,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,
HIT02_24,12,115,no,method invocation,,115," Is there any issue with the  method invocation(s) ""max""  at line  115 that might be related to the failure?",1,1,NO,NO,IDK,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,IDK,NO,YES,
HIT02_24,13,116,no,method invocation,,116," Is there any issue with the  method invocation(s) ""min""  at line  116 that might be related to the failure?",1,1,YES,YES,IDK,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,
HIT02_24,14,117,yes,variable,117,117;118," Is there any issue with the definition or/and the use of variable ""g"" in the source code below that might be related to the failure?",2,2,YES,YES,YES,YES,YES,NO,NO,YES,NO,IDK,NO,YES,NO,NO,NO,YES,NO,NO,IDK,YES,
HIT02_24,15,119,no,method invocation,,119," Is there any issue with the  method invocation(s) ""Color""  at line  119 that might be related to the failure?",1,1,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,
HIT03_6,16,75,no,variable,,75;79;83;85;87;95," Is there any issue with the definition or/and the use of variable ""input"" in the source code below that might be related to the failure?",5,6,NO,NO,YES,NO,IDK,NO,IDK,NO,NO,NO,NO,IDK,IDK,IDK,NO,NO,NO,NO,NO,NO,
HIT03_6,17,75,no,variable,,75;76;85;88," Is there any issue with the definition or/and the use of variable ""out"" in the source code below that might be related to the failure?",3,4,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,IDK,NO,IDK,NO,NO,IDK,NO,
HIT03_6,18,76,no,conditional,,76;77, Is there any issue with the conditional clause between lines 76 and 78 that might be related to the failure?,2,3,NO,YES,NO,YES,NO,NO,IDK,IDK,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,
HIT03_6,19,79,no,conditional,,79;80, Is there any issue with the conditional clause between lines 79 and 81 that might be related to the failure?,2,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,
HIT03_6,20,95,yes,variable,95,82;85;87;89;95," Is there any issue with the definition or/and the use of variable ""pos"" in the source code below that might be related to the failure?",6,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,IDK,YES,NO,YES,YES,NO,NO,NO,NO,NO,IDK,
HIT03_6,21,83,no,variable,,83;84," Is there any issue with the definition or/and the use of variable ""len"" in the source code below that might be related to the failure?",2,2,YES,IDK,NO,IDK,NO,NO,NO,YES,NO,NO,IDK,NO,NO,NO,NO,NO,IDK,NO,NO,NO,
HIT03_6,22,83,no,method invocation,,83;89," Is there any issue with the  method invocation(s) ""length""  at line  83 that might be related to the failure?",1,1,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,IDK,IDK,NO,IDK,NO,NO,NO,NO,
HIT03_6,23,95,yes,loop,95,84;85;86;87;88;89;90;94;95, Is there any issue with the While-loop between lines 84 and 97 that might be related to the failure?,9,9,NO,IDK,YES,YES,YES,IDK,NO,YES,IDK,YES,YES,YES,YES,IDK,NO,YES,IDK,IDK,YES,YES,
HIT03_6,24,85,no,variable,,85;86," Is there any issue with the definition or/and the use of variable ""consumed"" in the source code below that might be related to the failure?",3,3,YES,YES,YES,IDK,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,
HIT03_6,25,85,no,method invocation,,85," Is there any issue with the  method invocation(s) ""translate""  at line  85 that might be related to the failure?",1,1,YES,YES,IDK,NO,YES,YES,YES,IDK,NO,IDK,NO,IDK,YES,YES,NO,NO,NO,YES,NO,NO,
HIT03_6,26,86,no,conditional,,86;87;88;89;90, Is there any issue with the conditional clause between lines 86 and 91 that might be related to the failure?,5,6,NO,NO,YES,NO,IDK,YES,YES,YES,NO,YES,NO,NO,NO,NO,IDK,NO,NO,NO,NO,IDK,
HIT03_6,27,87,no,variable,,87;88;89," Is there any issue with the definition or/and the use of variable ""c"" in the source code below that might be related to the failure?",3,3,NO,IDK,YES,YES,IDK,NO,IDK,NO,IDK,NO,NO,IDK,NO,IDK,IDK,YES,NO,NO,NO,YES,
HIT03_6,28,87,no,method invocation,,87," Is there any issue with the  method invocation(s) ""toChars, codePointAt""  at line  87 that might be related to the failure?",1,1,NO,IDK,NO,YES,IDK,NO,NO,YES,YES,NO,YES,IDK,NO,YES,NO,NO,NO,NO,YES,NO,
HIT03_6,29,88,no,method invocation,,88," Is there any issue with the  method invocation(s) ""write""  at line  88 that might be related to the failure?",1,1,NO,YES,NO,IDK,YES,NO,IDK,NO,NO,IDK,NO,YES,YES,NO,YES,NO,IDK,NO,NO,NO,
HIT03_6,30,95,yes,loop,95,94;95, Is there any issue with the For-loop between lines 94 and 96 that might be related to the failure?,2,3,IDK,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,IDK,NO,NO,NO,NO,YES,NO,IDK,
HIT03_6,31,95,no,variable,,94;95," Is there any issue with the definition or/and the use of variable ""pt"" in the source code below that might be related to the failure?",1,1,IDK,YES,IDK,NO,NO,NO,NO,YES,YES,IDK,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,
HIT03_6,32,95,yes,method invocation,95,95," Is there any issue with the  method invocation(s) ""charCount, codePointAt""  at line  95 that might be related to the failure?",1,1,YES,YES,YES,IDK,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,IDK,YES,YES,YES,NO,
HIT04_7,33,256,no,variable,,256;258;259," Is there any issue with the definition or/and the use of variable ""period"" in the source code below that might be related to the failure?",2,3,NO,IDK,NO,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,IDK,NO,YES,IDK,
HIT04_7,34,256,no,variable,,256;266;270;277;281;291;295;305;309;316;320;327;331," Is there any issue with the definition or/and the use of variable ""index"" in the source code below that might be related to the failure?",12,13,IDK,YES,NO,NO,NO,NO,YES,NO,IDK,IDK,NO,NO,YES,YES,YES,IDK,NO,NO,NO,IDK,
HIT04_7,35,258,no,variable,,258;260;265;276," Is there any issue with the definition or/and the use of variable ""start"" in the source code below that might be related to the failure?",4,4,NO,NO,YES,IDK,NO,IDK,NO,IDK,NO,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
HIT04_7,36,258,no,method invocation,,258," Is there any issue with the  method invocation(s) ""getTime, getStart""  at line  258 that might be related to the failure?",1,1,NO,NO,NO,YES,YES,IDK,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
HIT04_7,37,259,no,variable,,259;260;315;326," Is there any issue with the definition or/and the use of variable ""end"" in the source code below that might be related to the failure?",4,4,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,IDK,NO,YES,IDK,NO,NO,NO,IDK,
HIT04_7,38,259,no,method invocation,,259," Is there any issue with the  method invocation(s) ""getTime, getEnd""  at line  259 that might be related to the failure?",1,1,IDK,NO,NO,NO,YES,NO,IDK,NO,YES,YES,YES,IDK,NO,NO,IDK,NO,IDK,NO,NO,YES,
HIT04_7,39,260,no,variable,,260;290;304," Is there any issue with the definition or/and the use of variable ""middle"" in the source code below that might be related to the failure?",3,3,IDK,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,IDK,
HIT04_7,40,262,no,conditional,,262;263;265;266;270, Is there any issue with the conditional clause between lines 262 and 271 that might be related to the failure?,5,10,NO,NO,YES,IDK,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,IDK,NO,YES,IDK,YES,
HIT04_7,41,263,no,variable,,263;265," Is there any issue with the definition or/and the use of variable ""minStart"" in the source code below that might be related to the failure?",2,2,YES,IDK,IDK,IDK,NO,NO,NO,IDK,NO,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
HIT04_7,42,263,no,method invocation,,263," Is there any issue with the  method invocation(s) ""getTime, getStart, getPeriod, getDataItem""  at line  263 that might be related to the failure?",1,1,NO,NO,NO,IDK,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,IDK,YES,YES,NO,NO,
HIT04_7,43,265,no,conditional,,265;266, Is there any issue with the conditional clause between lines 265 and 267 that might be related to the failure?,2,3,NO,NO,NO,NO,YES,NO,YES,NO,IDK,IDK,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,
HIT04_7,44,273,no,conditional,,273;274;276;277;281, Is there any issue with the conditional clause between lines 273 and 282 that might be related to the failure?,5,10,IDK,NO,NO,NO,NO,NO,NO,NO,NO,IDK,NO,NO,YES,IDK,YES,YES,YES,YES,YES,NO,
HIT04_7,45,274,no,variable,,274;276," Is there any issue with the definition or/and the use of variable ""maxStart"" in the source code below that might be related to the failure?",2,2,NO,NO,IDK,NO,NO,YES,IDK,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,
HIT04_7,46,274,no,method invocation,,274," Is there any issue with the  method invocation(s) ""getTime, getStart, getPeriod, getDataItem""  at line  274 that might be related to the failure?",1,1,NO,NO,NO,NO,IDK,NO,NO,IDK,NO,NO,YES,NO,NO,YES,NO,IDK,IDK,NO,NO,NO,
HIT04_7,47,276,no,conditional,,276;277, Is there any issue with the conditional clause between lines 276 and 278 that might be related to the failure?,2,3,IDK,NO,NO,NO,YES,NO,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDK,IDK,NO,YES,
HIT04_7,48,284,no,conditional,,284;285;287;289;290;291;295, Is there any issue with the conditional clause between lines 284 and 296 that might be related to the failure?,7,13,IDK,NO,NO,NO,NO,IDK,NO,NO,NO,YES,IDK,YES,NO,NO,YES,NO,NO,NO,YES,NO,
HIT04_7,49,285,no,variable,,285;289," Is there any issue with the definition or/and the use of variable ""s"" in the source code below that might be related to the failure?",2,2,NO,YES,YES,NO,YES,IDK,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,
HIT04_7,50,285,no,method invocation,,285," Is there any issue with the  method invocation(s) ""getTime, getStart, getPeriod, getDataItem""  at line  285 that might be related to the failure?",1,1,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,IDK,NO,NO,
HIT04_7,51,287,no,variable,,287;289," Is there any issue with the definition or/and the use of variable ""e"" in the source code below that might be related to the failure?",2,2,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,IDK,IDK,NO,NO,IDK,NO,NO,IDK,YES,
HIT04_7,52,287,no,method invocation,,287," Is there any issue with the  method invocation(s) ""getTime, getEnd, getPeriod, getDataItem""  at line  287 that might be related to the failure?",1,1,NO,IDK,YES,YES,NO,NO,NO,YES,NO,NO,NO,IDK,IDK,IDK,NO,NO,NO,IDK,NO,NO,
HIT04_7,53,289,no,variable,,289;290," Is there any issue with the definition or/and the use of variable ""minMiddle"" in the source code below that might be related to the failure?",2,2,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,IDK,NO,YES,NO,
HIT04_7,54,290,no,conditional,,290;291, Is there any issue with the conditional clause between lines 290 and 292 that might be related to the failure?,2,3,NO,NO,NO,NO,IDK,NO,NO,NO,IDK,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,
HIT04_7,55,298,yes,conditional,299;301,298;299;301;303;304;305;309, Is there any issue with the conditional clause between lines 298 and 310 that might be related to the failure?,7,13,NO,YES,YES,IDK,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,
HIT04_7,56,299,yes,variable,299,299;303," Is there any issue with the definition or/and the use of variable ""s"" in the source code below that might be related to the failure?",2,2,IDK,YES,YES,YES,NO,YES,YES,YES,IDK,IDK,YES,IDK,NO,NO,YES,YES,YES,IDK,IDK,IDK,
HIT04_7,57,299,yes,method invocation,299,299," Is there any issue with the  method invocation(s) ""getTime, getStart, getPeriod, getDataItem""  at line  299 that might be related to the failure?",1,1,NO,YES,NO,NO,NO,YES,YES,YES,IDK,IDK,IDK,YES,NO,IDK,YES,YES,IDK,YES,YES,YES,
HIT04_7,58,301,yes,variable,301,301;303," Is there any issue with the definition or/and the use of variable ""e"" in the source code below that might be related to the failure?",2,2,NO,NO,IDK,YES,YES,YES,YES,YES,YES,NO,NO,IDK,YES,YES,NO,YES,YES,NO,NO,NO,
HIT04_7,59,301,yes,method invocation,301,301," Is there any issue with the  method invocation(s) ""getTime, getEnd, getPeriod, getDataItem""  at line  301 that might be related to the failure?",1,1,YES,NO,IDK,NO,NO,IDK,YES,YES,IDK,NO,YES,YES,NO,NO,NO,NO,IDK,IDK,YES,YES,
HIT04_7,60,303,no,variable,,303;304," Is there any issue with the definition or/and the use of variable ""maxMiddle"" in the source code below that might be related to the failure?",2,2,IDK,NO,YES,NO,NO,NO,NO,NO,NO,YES,IDK,YES,NO,YES,NO,NO,NO,NO,YES,NO,
HIT04_7,61,304,no,conditional,,304;305, Is there any issue with the conditional clause between lines 304 and 306 that might be related to the failure?,2,3,YES,NO,NO,IDK,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,IDK,IDK,IDK,YES,NO,
HIT04_7,62,312,no,conditional,,312;313;315;316;320, Is there any issue with the conditional clause between lines 312 and 321 that might be related to the failure?,5,10,NO,YES,NO,NO,IDK,NO,YES,NO,YES,NO,NO,IDK,IDK,NO,IDK,NO,NO,NO,NO,IDK,
HIT04_7,63,313,no,variable,,313;315," Is there any issue with the definition or/and the use of variable ""minEnd"" in the source code below that might be related to the failure?",2,2,NO,IDK,NO,NO,NO,NO,YES,YES,IDK,NO,NO,IDK,NO,NO,YES,YES,NO,IDK,NO,NO,
HIT04_7,64,313,no,method invocation,,313," Is there any issue with the  method invocation(s) ""getTime, getEnd, getPeriod, getDataItem""  at line  313 that might be related to the failure?",1,1,NO,NO,IDK,NO,IDK,IDK,YES,NO,IDK,YES,YES,YES,IDK,IDK,IDK,NO,IDK,NO,IDK,NO,
HIT04_7,65,315,no,conditional,,315;316, Is there any issue with the conditional clause between lines 315 and 317 that might be related to the failure?,2,3,NO,NO,YES,NO,NO,NO,NO,IDK,NO,NO,NO,YES,IDK,YES,NO,IDK,YES,NO,NO,IDK,
HIT04_7,66,323,no,conditional,,323;324;326;327;331, Is there any issue with the conditional clause between lines 323 and 332 that might be related to the failure?,5,10,NO,NO,NO,NO,YES,NO,IDK,NO,NO,NO,NO,IDK,NO,NO,NO,YES,NO,IDK,NO,YES,
HIT04_7,67,324,no,variable,,324;326," Is there any issue with the definition or/and the use of variable ""maxEnd"" in the source code below that might be related to the failure?",2,2,NO,NO,YES,IDK,NO,NO,NO,NO,NO,IDK,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,
HIT04_7,68,324,no,method invocation,,324," Is there any issue with the  method invocation(s) ""getTime, getEnd, getPeriod, getDataItem""  at line  324 that might be related to the failure?",1,1,NO,IDK,NO,NO,NO,NO,NO,IDK,YES,NO,NO,IDK,IDK,IDK,IDK,YES,IDK,YES,NO,NO,
HIT04_7,69,326,no,conditional,,326;327, Is there any issue with the conditional clause between lines 326 and 328 that might be related to the failure?,2,3,NO,YES,NO,NO,NO,IDK,NO,YES,NO,NO,IDK,YES,IDK,NO,NO,YES,NO,NO,NO,NO,
HIT05_35,70,3288,no,variable,,3288;3290," Is there any issue with the definition or/and the use of variable ""array"" in the source code below that might be related to the failure?",2,2,NO,NO,NO,NO,NO,IDK,NO,YES,NO,NO,IDK,NO,NO,NO,YES,NO,IDK,YES,NO,NO,
HIT05_35,71,3288,no,variable,,3288;3291," Is there any issue with the definition or/and the use of variable ""element"" in the source code below that might be related to the failure?",2,2,IDK,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,
HIT05_35,72,3288,yes,variable,3288;3290,3288;3290," Is there any issue with the definition or/and the use of variable ""type"" in the source code below that might be related to the failure?",2,2,YES,YES,YES,NO,YES,NO,NO,NO,IDK,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,
HIT05_35,73,3288,yes,conditional,3288,3288, Is there any issue with the conditional clause at line 3288 that might be related to the failure?,1,1,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,IDK,NO,YES,YES,NO,YES,
HIT05_35,74,3288,no,method invocation,,3288," Is there any issue with the  method invocation(s) ""getClass""  at line  3288 that might be related to the failure?",1,1,YES,NO,YES,NO,IDK,NO,YES,NO,NO,NO,IDK,NO,NO,NO,NO,YES,YES,YES,NO,NO,
HIT05_35,75,3288,no,conditional,,3288, Is there any issue with the conditional clause at line 3288 that might be related to the failure?,1,1,IDK,IDK,YES,YES,YES,NO,NO,NO,IDK,YES,NO,NO,YES,YES,YES,IDK,NO,YES,YES,NO,
HIT05_35,76,3288,no,method invocation,,3288," Is there any issue with the  method invocation(s) ""getClass""  at line  3288 that might be related to the failure?",1,1,NO,NO,NO,NO,NO,NO,YES,YES,YES,IDK,IDK,YES,YES,YES,YES,YES,NO,YES,YES,NO,
HIT05_35,77,3290,yes,variable,3290,3290;3291;3292," Is there any issue with the definition or/and the use of variable ""newArray"" in the source code below that might be related to the failure?",3,3,NO,NO,IDK,YES,YES,NO,YES,YES,YES,NO,IDK,YES,YES,NO,YES,YES,NO,YES,YES,YES,
HIT05_35,78,3290,no,method invocation,,3290," Is there any issue with the  method invocation(s) ""copyArrayGrow1""  at line  3290 that might be related to the failure?",1,1,IDK,IDK,YES,NO,YES,NO,IDK,YES,IDK,YES,YES,YES,YES,YES,NO,IDK,YES,NO,YES,YES,
HIT06_51,79,233,no,variable,,241;247;248;251;263," Is there any issue with the definition or/and the use of variable ""x"" in the source code below that might be related to the failure?",5,5,IDK,YES,YES,NO,NO,NO,YES,IDK,NO,NO,IDK,NO,YES,NO,IDK,NO,NO,NO,YES,NO,
HIT06_51,80,236,no,variable,,240;241," Is there any issue with the definition or/and the use of variable ""prev"" in the source code below that might be related to the failure?",2,2,IDK,NO,NO,NO,NO,YES,NO,YES,NO,IDK,YES,NO,YES,NO,NO,IDK,IDK,YES,NO,YES,
HIT06_51,81,240,no,method invocation,,240," Is there any issue with the  method invocation(s) ""getLastChar""  at line  236 that might be related to the failure?",1,1,NO,NO,NO,NO,IDK,YES,IDK,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,
HIT06_51,82,241,no,conditional,,241;243,Is there any issue with the conditional clause between lines 241 and 245 that might be related to the failure?,2,5,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,IDK,IDK,NO,
HIT06_51,83,243,no,method invocation,,243," Is there any issue with the  method invocation(s) ""add""  at line  243 that might be related to the failure?",1,1,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,
HIT06_51,84,247,yes,conditional,260,247;248;249;250;251;252;253;254;257;258;260;263,Is there any issue with the conditional clause between lines 247 and 264 that might be related to the failure?,12,18,NO,NO,IDK,NO,IDK,YES,NO,YES,YES,IDK,YES,YES,IDK,IDK,NO,NO,YES,NO,NO,NO,
HIT06_51,85,244,no,variable,,248;249;252;260," Is there any issue with the definition or/and the use of variable ""value"" in the source code below that might be related to the failure?",4,4,NO,NO,NO,IDK,NO,NO,NO,IDK,NO,NO,NO,NO,YES,NO,IDK,NO,NO,IDK,NO,NO,
HIT06_51,86,245,no,variable,,249;252;253;258," Is there any issue with the definition or/and the use of variable ""mantissa"" in the source code below that might be related to the failure?",4,4,IDK,NO,NO,YES,NO,NO,NO,IDK,YES,IDK,YES,NO,NO,NO,NO,IDK,NO,NO,NO,NO,
HIT06_51,87,246,no,variable,,250;252;254;258," Is there any issue with the definition or/and the use of variable ""exp"" in the source code below that might be related to the failure?",5,5,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,IDK,NO,NO,
HIT06_51,88,247,no,conditional,,251;252;253;254, Is there any issue with the conditional clause between lines 251 and 256 that might be related to the failure?,4,7,NO,NO,YES,NO,NO,NO,NO,NO,NO,IDK,NO,NO,NO,YES,NO,NO,NO,IDK,YES,NO,
HIT06_51,89,247,no,method invocation,,251," Is there any issue with the  method invocation(s) ""abs""  at line  251 that might be related to the failure?",1,1,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
HIT06_51,90,248,no,loop,,252;253;254, Is there any issue with the While-loop between lines 252 and 255 that might be related to the failure?,3,3,NO,IDK,YES,NO,NO,YES,NO,NO,YES,IDK,IDK,IDK,IDK,IDK,NO,NO,NO,YES,NO,NO,
HIT06_51,91,248,no,method invocation,,252," Is there any issue with the  method invocation(s) ""pow""  at line  252 that might be related to the failure?",1,1,IDK,YES,NO,NO,NO,NO,NO,NO,IDK,YES,NO,YES,NO,NO,IDK,NO,NO,IDK,NO,NO,
HIT06_51,92,253,yes,conditional,260,257;258;260,Is there any issue with the conditional clause between lines 257 and 261 that might be related to the failure?,3,5,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,IDK,NO,NO,YES,NO,
HIT06_51,93,254,no,method invocation,,258," Is there any issue with the  method invocation(s) ""add, toString""  at line  254 that might be related to the failure?",1,1,NO,NO,NO,NO,NO,NO,YES,IDK,YES,NO,NO,YES,NO,IDK,YES,NO,YES,NO,NO,NO,
HIT06_51,94,254,no,method invocation,,258," Is there any issue with the  method invocation(s) ""toString""  at line  254 that might be related to the failure?",1,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,IDK,NO,NO,NO,YES,YES,NO,NO,IDK,NO,NO,
HIT06_51,95,256,yes,method invocation,260,260,"Is there any issue with the method invocation(s) ""add, toString"" at line 260 that might be related to the failure?",1,1,YES,YES,NO,NO,YES,IDK,YES,NO,IDK,NO,YES,IDK,NO,NO,NO,NO,YES,NO,NO,YES,
HIT06_51,96,259,no,method invocation,,263," IIs there any issue with the method invocation(s) ""add, valueOf"" at line 263 that might be related to the failure?",1,1,NO,NO,NO,NO,NO,NO,NO,NO,YES,IDK,IDK,NO,NO,IDK,IDK,NO,NO,NO,NO,NO,
HIT07_33,97,902,yes,variable,910,903;905;908;909;910," Is there any issue with the definition or/and the use of variable ""array"" in the source code below that might be related to the failure?",5,5,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,IDK,NO,NO,NO,NO,NO,YES,NO,
HIT07_33,98,903,no,conditional,,903;904;905;906, Is there any issue with the conditional clause between lines 903 and 907 that might be related to the failure?,4,5,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,IDK,IDK,NO,NO,YES,NO,NO,YES,
HIT07_33,99,905,no,conditional,,905;906, Is there any issue with the conditional clause between lines 905 and 907 that might be related to the failure?,2,3,NO,NO,NO,NO,NO,IDK,NO,IDK,NO,NO,IDK,NO,NO,YES,NO,NO,YES,NO,NO,NO,
HIT07_33,100,908,no,variable,910,908;910;912," Is there any issue with the definition or/and the use of variable ""classes"" in the source code below that might be related to the failure?",3,3,NO,YES,IDK,YES,NO,NO,NO,IDK,NO,YES,YES,YES,NO,IDK,YES,NO,NO,NO,NO,YES,
HIT07_33,101,908,no,method invocation,,908," Is there any issue with the  method invocation(s) ""Class[]""  at line  908 that might be related to the failure?",1,1,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,
HIT07_33,102,909,yes,loop,910,909;910, Is there any issue with the For-loop between lines 909 and 911 that might be related to the failure?,2,3,YES,YES,NO,YES,YES,NO,YES,IDK,YES,YES,NO,NO,NO,NO,IDK,YES,YES,NO,NO,NO,
HIT07_33,103,909,no,variable,910,909;910," Is there any issue with the definition or/and the use of variable ""i"" in the source code below that might be related to the failure?",2,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDK,NO,NO,NO,NO,NO,
HIT07_33,104,910,yes,method invocation,910,910," Is there any issue with the  method invocation(s) ""getClass""  at line  910 that might be related to the failure?",1,1,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,IDK,NO,YES,YES,NO,
HIT08_54,105,94,no,variable,,95;98;100;102;103;105;108;110;111;113;114;116;119;121;122;124," Is there any issue with the definition or/and the use of variable ""str"" in the source code below that might be related to the failure?",16,16,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,
